numPeriods                          45
numCommodities                      1
numLoadingRegions                   2
numDischargeRegions                 3
numLoadingPorts                     2 2
numDischargePorts                   3 3 3
numVesselClasses                    4
numTermVesselsInClass               5 4 4 4
hoursPerPeriod                      24
spotMarketPricePerUnit              1
spotMarketDiscountFactor            0.999
attemptCost                         0.01
perPeriodRewardForFinishingEarly    0.01
constantForSinglePeriodAlphaSlack   1.0
constantForCumulativeAlphaSlack     6.0
